,0,1,2,3
0,27,burger,Synonym,hamburger
1,27,burger,FormOf,burger
2,27,burger,Synonym,Warren Earl Burger
18,27,burger,RelatedTo,patty
93,27,thing,IsA,entity
94,27,thing,Synonym,matter
177,27,cap,AtLocation,a cap
179,27,cap,IsA,protective covering
200,27,graduation,RelatedTo,graduation
207,27,graduation,HasSubevent,graduation
255,27,drag,RelatedTo,drag
257,27,drag,MannerOf,pull
268,27,drag,Synonym,puff
270,27,drag,IsA,clothing
392,27,hurry,Synonym,haste
407,27,tryna,HasContext,slang
410,27,tryna,RelatedTo,try
412,27,tryna,RelatedTo,to
413,27,start,RelatedTo,beginning
414,27,start,RelatedTo,begin
417,27,start,IsA,turn
467,27,already,RelatedTo,already
491,27,trust,HasPrerequisite,trust
492,27,trust,RelatedTo,trust
641,27,malone,Synonym,Edmond Malone
642,27,malone,RelatedTo,franklin county
643,27,malone,RelatedTo,usa
644,27,malone,RelatedTo,new york
645,27,malone,RelatedTo,malone
646,27,malone,RelatedTo,county seat
653,27,malone,PartOf,new york
655,27,malone,IsA,village
668,27,bad,DistinctFrom,good
696,27,album,RelatedTo,album
697,27,album,AtLocation,record store
698,27,album,UsedFor,storing photographs
699,27,album,UsedFor,hearer
700,27,album,UsedFor,play
702,27,album,RelatedTo,record player
704,27,album,UsedFor,sell
716,27,aight,Synonym,aight
717,27,aight,HasContext,slang
718,27,aight,RelatedTo,all right
719,27,aight,HasContext,aave
720,27,aight,FormOf,aight
721,27,aight,HasContext,us
722,27,aight,EtymologicallyRelatedTo,all right
723,27,aight,EtymologicallyRelatedTo,aight
724,27,name,UsedFor,identify something or someone
725,27,name,RelatedTo,person
726,27,name,RelatedTo,title
727,27,name,RelatedTo,personal
728,27,name,RelatedTo,label
730,27,name,UsedFor,labeling things
732,27,name,RelatedTo,identity
733,27,name,UsedFor,identification
736,27,name,RelatedTo,moniker
737,27,name,RelatedTo,identification
739,27,name,RelatedTo,nomenclature
742,27,name,IsA,name
762,27,rider,RelatedTo,rider
768,27,rider,PartOf,bill
780,27,rider,IsA,rider
782,27,dont,HasContext,nonstandard
783,27,dont,DerivedFrom,dont
784,27,dont,FormOf,don't
825,27,rap,RelatedTo,music
826,27,rap,IsA,music
827,27,rap,RelatedTo,hip hop
828,27,rap,RelatedTo,hip
829,27,rap,RelatedTo,hop
831,27,rap,Synonym,knock
838,27,rap,IsA,bump
842,27,rap,HasContext,music
845,27,isnt,FormOf,isn't
855,27,everybody,IsA,always younger than their father
856,27,everybody,Synonym,everyone
888,27,educated,RelatedTo,numerate
893,27,educated,RelatedTo,intellectual
897,27,educated,RelatedTo,enlightened
898,27,educated,SimilarTo,self-educated
900,27,educated,RelatedTo,informed
901,27,educated,SimilarTo,educated
903,27,educated,Desires,be educated
905,27,enough,RelatedTo,sufficient
925,27,understand,HasPrerequisite,think
937,27,understand,Synonym,sympathize
938,27,understand,MannerOf,understand
940,27,understand,HasSubevent,understand
942,27,understand,Causes,understand
945,27,true,SimilarTo,real
948,27,true,SimilarTo,true
951,27,true,Synonym,unfeigned
964,27,art,RelatedTo,painting
966,27,art,RelatedTo,paintings
969,27,art,RelatedTo,sculpture
970,27,art,RelatedTo,museum
971,27,art,RelatedTo,expression
972,27,art,RelatedTo,drawing
975,27,art,RelatedTo,museums
976,27,art,Synonym,art
977,27,art,RelatedTo,creative
981,27,art,IsA,an art
982,27,art,UsedFor,Art
984,27,behind,RelatedTo,back
1032,27,lyrics,RelatedTo,lyric
1034,27,lyrics,CapableOf,be poems
1035,27,talks,Synonym,negotiation
1037,27,talks,RelatedTo,talk
1075,27,problems,AtLocation,a quandry
1079,27,problems,CapableOf,cause a headache
1081,27,problems,IsA,unsolvable
1112,27,ignorant,HasProperty,ignorant
1114,27,ignorant,Synonym,unlettered
1117,27,ignorant,Synonym,unknowledgeable
1120,27,ignorant,Synonym,unversed
1129,27,ignorant,RelatedTo,ignore
1130,27,mind,RelatedTo,brain
1131,27,mind,UsedFor,thinking
1132,27,mind,PartOf,Mind
1133,27,mind,RelatedTo,thinking
1134,27,mind,RelatedTo,thought
1165,27,cant,Synonym,bevel
1169,27,cant,IsA,cant
1176,27,comprehend,Synonym,embrace
1185,27,comprehend,Synonym,get the picture
1187,27,comprehend,Synonym,perceive
1209,27,cock,IsA,a male chicken
1214,27,cock,IsA,chicken
1219,27,cock,RelatedTo,cock
1223,27,cock,IsA,cock
1228,27,cock,IsA,bird
1229,27,juul,RelatedTo,pernille
1230,27,juul,Synonym,Carl August Nielsen
1231,27,juul,RelatedTo,norway
1232,27,juul,RelatedTo,danish
1241,27,hard,DistinctFrom,hard
1247,27,hard,RelatedTo,difficult
1251,27,hard,SimilarTo,hard
1353,27,show,UsedFor,entertain
1354,27,show,UsedFor,entertainment
1357,27,show,AtLocation,a theatre
1361,27,show,AtLocation,a television
1362,27,show,UsedFor,an audience
1367,27,show,MannerOf,show
1375,27,girl,RelatedTo,female
1377,27,girl,RelatedTo,young
1380,27,girl,RelatedTo,woman
1381,27,girl,DistinctFrom,girl
1382,27,girl,DistinctFrom,boy
1385,27,girl,Antonym,girl
1386,27,girl,RelatedTo,child
1388,27,girl,RelatedTo,person
1389,27,girl,Antonym,boy
1390,27,girl,RelatedTo,gender
1391,27,girl,RelatedTo,young woman
1392,27,girl,RelatedTo,boy
1393,27,tell,HasPrerequisite,tell them
1394,27,tell,MotivatedByGoal,tell someone something
1395,27,tell,RelatedTo,tell
1397,27,tell,Synonym,William Tell
1526,27,hurtin,Causes,lovin
1527,27,hurtin,FormOf,lovin
1548,27,story,RelatedTo,tale
1549,27,story,RelatedTo,book
1550,27,story,RelatedTo,plot
1552,27,story,UsedFor,entertainment
1553,27,story,RelatedTo,novel
1554,27,story,RelatedTo,narrative
1555,27,story,RelatedTo,books
1556,27,story,RelatedTo,bedtime
1557,27,story,IsA,a story
1558,27,story,AtLocation,a newspaper
1559,27,story,RelatedTo,telling
1560,27,story,RelatedTo,fairy
1561,27,story,RelatedTo,fable
1564,27,story,RelatedTo,fiction
1566,27,story,IsA,story
1568,27,picture,RelatedTo,photo
1569,27,picture,RelatedTo,image
1570,27,picture,RelatedTo,photograph
1571,27,picture,RelatedTo,frame
1572,27,picture,RelatedTo,camera
1573,27,picture,RelatedTo,painting
1574,27,picture,AtLocation,an art show
1576,27,picture,RelatedTo,art
1577,27,picture,RelatedTo,drawing
1578,27,picture,RelatedTo,portrait
1581,27,picture,RelatedTo,framed
1582,27,picture,Synonym,mental picture
1592,27,depressed,HasContext,biology
1593,27,depressed,Synonym,down in the mouth
1600,27,depressed,SimilarTo,low
1601,27,depressed,SimilarTo,thin
1606,27,depressed,Antonym,depressed
1608,27,bart,Synonym,baronet
1609,27,bart,Synonym,bt
1612,27,bart,HasContext,british
1613,27,bart,RelatedTo,baronet
